Position,Games,FantasyPoints,PlayerID,AvgFPPG
QB,1,1.0,brian hoyer0,1.0
RB,1,1.0,reggie bonnafon0,1.0
WR,15,14.0,cedrick wilson jr.0,0.9333333333333333
FB,15,14.0,zander horvath0,0.9333333333333333
TE,11,10.0,anthony firkser0,0.9090909090909091
WR,10,9.0,michael bandy0,0.9
FB,17,15.0,derek watt0,0.8823529411764706
FB,15,13.0,reggie gilliam0,0.8666666666666667
TE,14,12.0,quintin morris0,0.8571428571428571
RB,6,5.0,tony jones0,0.8333333333333334
RB,6,5.0,julius chestnut0,0.8333333333333334
RB,6,5.0,isaiah spiller0,0.8333333333333334
RB,12,10.0,chris evans0,0.8333333333333334
TE,17,14.0,dan arnold0,0.8235294117647058
TE,17,14.0,ko kieft0,0.8235294117647058
TE,11,9.0,armani rogers0,0.8181818181818182
FB,16,13.0,chris myarick0,0.8125
WR,5,4.0,racey mcmath0,0.8
TE,14,11.0,brycen hopkins0,0.7857142857142857
TE,17,13.0,zach gentry0,0.7647058823529411
TE,4,3.0,ben ellefson0,0.75
RB,4,3.0,larry rountree0,0.75
TE,16,12.0,pharaoh brown0,0.75
RB,8,6.0,trayveon williams0,0.75
WR,14,10.0,marcus johnson0,0.7142857142857143
TE,17,12.0,jack stoll0,0.7058823529411765
TE,17,12.0,geoff swaim0,0.7058823529411765
WR,10,7.0,d'wayne eskridge0,0.7
WR,3,2.0,juwann winfree0,0.6666666666666666
RB,3,2.0,ty chandler0,0.6666666666666666
TE,9,6.0,nick vannett0,0.6666666666666666
QB,3,2.0,nick foles0,0.6666666666666666
WR,6,4.0,laquon treadwell0,0.6666666666666666
WR,3,2.0,cade johnson0,0.6666666666666666
FB,15,10.0,giovanni ricci0,0.6666666666666666
WR,15,10.0,dax milne0,0.6666666666666666
TE,17,11.0,josiah deguara0,0.6470588235294118
WR,8,5.0,andre baccellia0,0.625
RB,8,5.0,ronnie rivers0,0.625
WR,10,6.0,mike thomas0,0.6
RB,17,10.0,kene nwangwu0,0.5882352941176471
WR,9,5.0,chris conley0,0.5555555555555556
TE,11,6.0,tyler kroft0,0.5454545454545454
TE,13,7.0,andrew beck0,0.5384615384615384
TE,15,8.0,grant calcaterra0,0.5333333333333333
WR,17,9.0,cam sims0,0.5294117647058824
TE,17,9.0,parker hesse0,0.5294117647058824
FB,17,9.0,patrick ricard0,0.5294117647058824
WR,2,1.0,jalen camp0,0.5
RB,2,1.0,kylin hill0,0.5
QB,2,1.0,josh johnson0,0.5
WR,4,2.0,quintez cephus0,0.5
WR,2,1.0,nsimba webster0,0.5
RB,14,7.0,zamir white0,0.5
WR,6,3.0,tyrie cleveland0,0.5
RB,15,7.0,ke'shawn vaughn0,0.4666666666666667
WR,13,6.0,mike strachan0,0.46153846153846156
WR,11,5.0,cody hollister0,0.45454545454545453
WR,16,7.0,gunner olszewski0,0.4375
RB,12,5.0,dwayne washington0,0.4166666666666667
TE,17,7.0,tre' mckitty0,0.4117647058823529
WR,5,2.0,keith kirkwood0,0.4
WR,10,4.0,michael woods ii0,0.4
WR,5,2.0,simi fehoko0,0.4
WR,5,2.0,andy isabella0,0.4
WR,5,2.0,frank darby0,0.4
WR,5,2.0,pharoh cooper0,0.4
RB,8,3.0,jonathan ward0,0.375
WR,16,6.0,trent taylor0,0.375
RB,8,3.0,giovani bernard0,0.375
RB,14,5.0,patrick taylor0,0.35714285714285715
TE,14,5.0,trevon wesco0,0.35714285714285715
TE,14,5.0,stephen sullivan0,0.35714285714285715
TE,3,1.0,mason schreck0,0.3333333333333333
WR,9,3.0,dj turner0,0.3333333333333333
WR,9,3.0,tylan wallace0,0.3333333333333333
WR,6,2.0,lil'jordan humphrey0,0.3333333333333333
TE,7,2.0,stone smartt0,0.2857142857142857
WR,7,2.0,bryan edwards0,0.2857142857142857
WR,15,4.0,james proche0,0.26666666666666666
RB,8,2.0,mike davis0,0.25
RB,4,1.0,devine ozigbo0,0.25
WR,4,1.0,tyron johnson0,0.25
WR,4,1.0,c.j. board0,0.25
WR,4,1.0,maurice alexander0,0.25
TE,17,4.0,chris manhertz0,0.23529411764705882
TE,17,4.0,luke farrell0,0.23529411764705882
RB,17,4.0,trestan ebner0,0.23529411764705882
WR,9,2.0,penny hart0,0.2222222222222222
WR,14,3.0,jaelon darden0,0.21428571428571427
RB,5,1.0,godwin igwebuike0,0.2
TE,15,3.0,ryan griffin0,0.2
TE,5,1.0,tommy sweeney0,0.2
TE,10,2.0,cole turner0,0.2
TE,11,2.0,maxx williams0,0.18181818181818182
FB,11,2.0,adam prentice0,0.18181818181818182
WR,17,3.0,tim jones0,0.17647058823529413
TE,17,3.0,tyler davis0,0.17647058823529413
WR,6,1.0,austin trammell0,0.16666666666666666
WR,6,1.0,jason moore0,0.16666666666666666
WR,13,2.0,dareke young0,0.15384615384615385
WR,13,2.0,danny gray0,0.15384615384615385
TE,7,1.0,jacob harris0,0.14285714285714285
TE,15,2.0,jesper horsted0,0.13333333333333333
RB,15,2.0,d'ernest johnson0,0.13333333333333333
FB,8,1.0,jason cabinda0,0.125
FB,16,2.0,troy hairston0,0.125
WR,8,1.0,jalen tolbert0,0.125
FB,17,2.0,michael burton0,0.11764705882352941
TE,9,1.0,jeremy ruckert0,0.1111111111111111
TE,12,1.0,devin asiasi0,0.08333333333333333
TE,13,1.0,sean mckeon0,0.07692307692307693
RB,13,1.0,jerome ford0,0.07692307692307693
WR,15,1.0,montrell washington0,0.06666666666666667
WR,16,1.0,miles boykin0,0.0625
TE,16,1.0,stephen anderson0,0.0625
FB,17,1.0,jakob johnson0,0.058823529411764705
FB,17,1.0,keith smith0,0.058823529411764705
TE,10,0.0,nick muse0,0.0
TE,10,0.0,richard rodgers0,0.0
WR,3,0.0,andre roberts0,0.0
TE,14,0.0,kevin rader0,0.0
RB,1,0.0,d'vonte price0,0.0
WR,3,0.0,cornell powell0,0.0
TE,4,0.0,jared pinkney0,0.0
RB,3,0.0,qadree ollison0,0.0
TE,1,0.0,lucas krull0,0.0
WR,14,0.0,stanley morgan jr.0,0.0
WR,4,0.0,kirk merritt0,0.0
WR,2,0.0,kyric mcgowan0,0.0
WR,10,0.0,lance mccutcheon0,0.0
WR,2,0.0,tay martin0,0.0
TE,9,0.0,hunter long0,0.0
WR,1,0.0,kwamie lassiter ii0,0.0
WR,3,0.0,braylon sanders0,0.0
WR,2,0.0,mason kinsey0,0.0
WR,3,0.0,marcus kemp0,0.0
TE,2,0.0,drew sample0,0.0
WR,2,0.0,binjimen victor0,0.0
WR,17,0.0,matthew slater0,0.0
RB,2,0.0,antonio williams0,0.0
QB,2,0.0,case keenum0,0.0
WR,2,0.0,brandon zylstra0,0.0
TE,10,0.0,kenny yeboah0,0.0
QB,1,0.0,logan woodside0,0.0
TE,17,0.0,charlie woerner0,0.0
WR,1,0.0,javon wims0,0.0
WR,1,0.0,preston williams0,0.0
RB,1,0.0,damien williams0,0.0
WR,1,0.0,cody white0,0.0
WR,4,0.0,willie snead0,0.0
WR,12,0.0,raleigh webb0,0.0
WR,1,0.0,scotty washington0,0.0
WR,2,0.0,james washington0,0.0
WR,3,0.0,malik turner0,0.0
FB,4,0.0,jake tonges0,0.0
TE,2,0.0,noah togiai0,0.0
QB,2,0.0,nate sudfeld0,0.0
TE,3,0.0,matt sokol0,0.0
RB,1,0.0,john kelly0,0.0
FB,9,0.0,tory carter0,0.0
TE,7,0.0,nikola kalinic0,0.0
TE,12,0.0,nick boyle0,0.0
WR,17,0.0,britain covey0,0.0
WR,2,0.0,tyler johnson0,0.0
TE,13,0.0,tanner conner0,0.0
WR,2,0.0,dan chisena0,0.0
TE,1,0.0,roger carter0,0.0
TE,1,0.0,cethan carter0,0.0
RB,2,0.0,trenton cannon0,0.0
RB,6,0.0,brittain brown0,0.0
WR,1,0.0,lynn bowden jr.0,0.0
QB,1,0.0,jacob eason0,0.0
FB,16,0.0,khari blasingame0,0.0
WR,4,0.0,stanley berryhill0,0.0
WR,2,0.0,jared bernhardt0,0.0
WR,1,0.0,trinity benson0,0.0
FB,16,0.0,nick bellore0,0.0
RB,2,0.0,alex armah0,0.0
TE,1,0.0,chase allen0,0.0
WR,2,0.0,josh ali0,0.0
RB,5,0.0,rico dowdle0,0.0
WR,8,0.0,keke coutee0,0.0
WR,2,0.0,alex erickson0,0.0
TE,1,0.0,garrett griffin0,0.0
WR,1,0.0,johnny johnson0,0.0
RB,1,0.0,duke johnson0,0.0
TE,2,0.0,jesse james0,0.0
TE,5,0.0,tyree jackson0,0.0
RB,2,0.0,jordan howard0,0.0
WR,1,0.0,erik ezukanma0,0.0
TE,5,0.0,jacob hollister0,0.0
WR,3,0.0,rashard higgins0,0.0
TE,6,0.0,j.p. holtz0,0.0
WR,2,0.0,josh gordon0,0.0
TE,4,0.0,miller forristall0,0.0
WR,3,0.0,tanner gentry0,0.0
WR,1,0.0,ethan fernea0,0.0
WR,1,0.0,dez fitzpatrick0,0.0
RB,8,0.0,demetric felton0,0.0
TE,11,0.0,feleipe franks0,0.0
RB,6,0.0,jake funk0,0.0
WR,3,0.0,kaylon geiger0,0.0
WR,17,-1.0,kavontae turpin0,-0.058823529411764705
WR,8,-1.0,ihmir smith-marsette0,-0.125
RB,16,-2.0,taiwan jones0,-0.125
QB,4,-1.0,c.j. beathard0,-0.25
WR,4,-1.0,deonte harty0,-0.25
QB,3,-1.0,chad henne0,-0.3333333333333333
WR,3,-2.0,chester rogers0,-0.6666666666666666
QB,1,-3.0,tim boyle0,-3.0
