Player,Team,Position,Games,PassingCompletions,RushingAttempts,RushingAttempts,ReceivingYards,ReceivingYards,ReceivingYards,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTD,PassingInt,RushingAttempts,RushingAttempts,ReceivingYards,ReceivingYards,ReceivingYards,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTargets,Receptions,ReceivingYards,ReceivingYards,ReceivingYards,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTD,FantasyPoints,PlayerID
Jahmyr Gibbs*,DET,RB,15,0,0,182,0,945,316,0,10,1,11,0,0,182,0,945,316,0,10,1,11,71,52,0,945,316,0,10,1,11,190.0,35
Evan Engram*,JAX,TE,17,0,0,0,0,0,963,0,0,4,4,0,0,0,0,0,963,0,0,4,4,143,114,0,0,963,0,0,4,4,116.0,36
James Cook*,BUF,RB,17,0,0,237,0,1122,445,0,2,4,6,0,0,237,0,1122,445,0,2,4,6,54,44,0,1122,445,0,2,4,6,189.0,37
Bijan Robinson,ATL,RB,17,0,0,214,0,976,487,0,4,4,8,0,0,214,0,976,487,0,4,4,8,86,58,0,976,487,0,4,4,8,188.0,38
D.K. Metcalf*,SEA,WR,16,0,0,0,0,0,1114,0,0,8,8,0,0,0,0,0,1114,0,0,8,8,119,66,0,0,1114,0,0,8,8,159.0,39
Jared Goff,DET,QB,17,407,605,32,4575,21,0,30,2,0,2,12,605,32,4575,21,0,30,2,0,2,0,0,4575,21,0,30,2,0,2,289.0,40
Taysom Hill,NOR,TE,16,6,11,81,83,401,291,1,4,2,6,0,11,81,83,401,291,1,4,2,6,40,33,83,401,291,1,4,2,6,111.0,41
Amari Cooper*,CLE,WR,15,0,0,0,0,0,1250,0,0,5,5,0,0,0,0,0,1250,0,0,5,5,128,72,0,0,1250,0,0,5,5,155.0,42
Saquon Barkley,NYG,RB,14,0,0,247,0,962,280,0,6,4,10,0,0,247,0,962,280,0,6,4,10,60,41,0,962,280,0,6,4,10,182.0,43
Calvin Ridley,JAX,WR,17,0,0,9,0,23,1016,0,0,8,8,0,0,9,0,23,1016,0,0,8,8,136,76,0,23,1016,0,0,8,8,154.0,44
Jayden Reed,GNB,WR,16,0,0,11,0,119,793,0,2,8,10,0,0,11,0,119,793,0,2,8,10,94,64,0,119,793,0,2,8,10,153.0,45
Cole Kmet,CHI,TE,17,0,0,3,0,2,719,0,0,6,6,0,0,3,0,2,719,0,0,6,6,90,73,0,2,719,0,0,6,6,108.0,46
Jordan Addison,MIN,WR,17,0,0,1,0,2,911,0,0,10,10,0,0,1,0,2,911,0,0,10,10,108,70,0,2,911,0,0,10,10,151.0,47
Jake Ferguson*,DAL,TE,17,0,0,0,0,0,761,0,0,5,5,0,0,0,0,0,761,0,0,5,5,102,71,0,0,761,0,0,5,5,106.0,48
DeAndre Hopkins,TEN,WR,17,0,1,2,0,9,1057,0,0,7,7,0,1,2,0,9,1057,0,0,7,7,137,75,0,9,1057,0,0,7,7,149.0,49
Patrick Mahomes*,KAN,QB,16,401,597,75,4183,389,0,27,0,0,0,14,597,75,4183,389,0,27,0,0,0,0,0,4183,389,0,27,0,0,0,280.0,50
Jakobi Meyers,LVR,WR,16,2,3,4,12,24,807,1,2,8,10,0,3,4,12,24,807,1,2,8,10,106,71,12,24,807,1,2,8,10,148.0,51
James Conner,ARI,RB,13,0,0,208,0,1040,165,0,7,2,9,0,0,208,0,1040,165,0,7,2,9,33,27,0,1040,165,0,7,2,9,175.0,52
Gus Edwards,BAL,RB,17,0,0,198,0,810,180,0,13,0,13,0,0,198,0,810,180,0,13,0,13,13,12,0,810,180,0,13,0,13,175.0,53
DeVonta Smith,PHI,WR,16,0,0,0,0,0,1066,0,0,7,7,0,0,0,0,0,1066,0,0,7,7,112,81,0,0,1066,0,0,7,7,147.0,54
George Pickens,PIT,WR,17,0,0,3,0,18,1140,0,0,5,5,0,0,3,0,18,1140,0,0,5,5,106,63,0,18,1140,0,0,5,5,146.0,55
Trey McBride,ARI,TE,17,0,0,0,0,0,825,0,0,3,3,0,0,0,0,0,825,0,0,3,3,106,81,0,0,825,0,0,3,3,101.0,56
Chris Olave,NOR,WR,16,0,0,0,0,0,1123,0,0,5,5,0,0,0,0,0,1123,0,0,5,5,138,87,0,0,1123,0,0,5,5,144.0,57
C.J. Stroud*,HOU,QB,15,319,499,39,4108,167,0,23,3,0,3,5,499,39,4108,167,0,23,3,0,3,1,1,4108,167,0,23,3,0,3,275.0,58
Kenneth Walker III,SEA,RB,15,0,0,219,0,905,259,0,8,1,9,0,0,219,0,905,259,0,8,1,9,37,29,0,905,259,0,8,1,9,170.0,59
Baker Mayfield*,TAM,QB,17,364,566,62,4044,163,0,28,1,0,1,10,566,62,4044,163,0,28,1,0,1,0,0,4044,163,0,28,1,0,1,274.0,60
Isiah Pacheco,KAN,RB,14,0,0,205,0,935,244,0,7,2,9,0,0,205,0,935,244,0,7,2,9,49,44,0,935,244,0,7,2,9,170.0,61
Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,1152,0,0,4,4,0,0,0,0,0,1152,0,0,4,4,156,109,0,0,1152,0,0,4,4,141.0,62
Tony Pollard,DAL,RB,17,0,0,252,0,1005,311,0,6,0,6,0,0,252,0,1005,311,0,6,0,6,67,55,0,1005,311,0,6,0,6,168.0,63
Jerome Ford,CLE,RB,17,0,0,204,0,813,319,0,4,5,9,0,0,204,0,813,319,0,4,5,9,63,44,0,813,319,0,4,5,9,167.0,64
Najee Harris,PIT,RB,17,0,0,255,0,1035,170,0,8,0,8,0,0,255,0,1035,170,0,8,0,8,38,29,0,1035,170,0,8,0,8,167.0,65
Tua Tagovailoa*,MIA,QB,17,388,560,35,4624,74,0,29,0,0,0,14,560,35,4624,74,0,29,0,0,0,0,0,4624,74,0,29,0,0,0,270.0,66
Dalton Schultz,HOU,TE,15,0,0,0,0,0,635,0,0,5,5,0,0,0,0,0,635,0,0,5,5,88,59,0,0,635,0,0,5,5,92.0,67
Mark Andrews,BAL,TE,10,0,0,1,0,0,544,0,0,6,6,0,0,1,0,0,544,0,0,6,6,61,45,0,0,544,0,0,6,6,90.0,68
De'Von Achane,MIA,RB,11,0,0,103,0,800,197,0,8,3,11,0,0,103,0,800,197,0,8,3,11,37,27,0,800,197,0,8,3,11,164.0,69
Justin Jefferson,MIN,WR,10,0,1,1,0,-12,1074,0,0,5,5,0,1,1,0,-12,1074,0,0,5,5,100,68,0,-12,1074,0,0,5,5,134.0,70
Brian Robinson Jr.,WAS,RB,15,0,0,178,0,733,368,0,5,4,9,0,0,178,0,733,368,0,5,4,9,43,36,0,733,368,0,5,4,9,162.0,71
Rashee Rice,KAN,WR,16,0,0,1,0,-3,938,0,0,7,7,0,0,1,0,-3,938,0,0,7,7,102,79,0,-3,938,0,0,7,7,134.0,72
D'Andre Swift*,PHI,RB,16,0,0,229,0,1049,214,0,5,1,6,0,0,229,0,1049,214,0,5,1,6,49,39,0,1049,214,0,5,1,6,160.0,73
Courtland Sutton,DEN,WR,16,0,0,0,0,0,772,0,0,10,10,0,0,0,0,0,772,0,0,10,10,90,59,0,0,772,0,0,10,10,131.0,74
Terry McLaurin,WAS,WR,17,0,0,0,0,0,1002,0,0,4,5,0,0,0,0,0,1002,0,0,4,5,132,79,0,0,1002,0,0,4,5,130.0,75
Trevor Lawrence,JAX,QB,16,370,564,70,4016,339,0,21,4,0,4,14,564,70,4016,339,0,21,4,0,4,0,0,4016,339,0,21,4,0,4,263.0,76
Sam Howell,WAS,QB,17,388,612,48,3946,263,4,21,5,0,5,21,612,48,3946,263,4,21,5,0,5,1,1,3946,263,4,21,5,0,5,257.0,77
Russell Wilson,DEN,QB,15,297,447,80,3070,341,0,26,3,0,3,8,447,80,3070,341,0,26,3,0,3,0,0,3070,341,0,26,3,0,3,257.0,78
Matthew Stafford*,LAR,QB,15,326,521,21,3965,65,0,24,0,0,0,11,521,21,3965,65,0,24,0,0,0,0,0,3965,65,0,24,0,0,0,243.0,79
Derek Carr,NOR,QB,17,375,548,32,3878,40,0,25,0,0,0,8,548,32,3878,40,0,25,0,0,0,0,0,3878,40,0,25,0,0,0,241.0,80
Justin Herbert,LAC,QB,13,297,456,52,3134,228,10,20,3,0,3,7,456,52,3134,228,10,20,3,0,3,1,1,3134,228,10,20,3,0,3,233.0,81
Justin Fields,CHI,QB,13,227,370,124,2562,657,0,16,4,0,4,9,370,124,2562,657,0,16,4,0,4,0,0,2562,657,0,16,4,0,4,230.0,82
Geno Smith*,SEA,QB,15,323,499,37,3624,155,-2,20,1,0,1,9,499,37,3624,155,-2,20,1,0,1,1,1,3624,155,-2,20,1,0,1,226.0,83
Joshua Dobbs,2TM,QB,13,262,417,77,2464,421,0,13,6,0,6,10,417,77,2464,421,0,13,6,0,6,0,0,2464,421,0,13,6,0,6,201.0,84
