Player,Team,Position,Games,PassingCompletions,RushingAttempts,RushingAttempts,ReceivingYards,ReceivingYards,ReceivingYards,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTD,PassingInt,RushingAttempts,RushingAttempts,ReceivingYards,ReceivingYards,ReceivingYards,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTargets,Receptions,ReceivingYards,ReceivingYards,ReceivingYards,ReceivingTD,ReceivingTD,ReceivingTD,ReceivingTD,FantasyPoints,PlayerID
Jonnu Smith,ATL,TE,17,0,1,1,0,0,582,0,0,3,3,0,1,1,0,0,582,0,0,3,3,70,50,0,0,582,0,0,3,3,74.0,159
Tutu Atwell,LAR,WR,16,0,0,5,0,31,483,0,0,3,3,0,0,5,0,31,483,0,0,3,3,67,39,0,31,483,0,0,3,3,73.0,160
Odell Beckham Jr.,BAL,WR,14,0,0,0,0,0,565,0,0,3,3,0,0,0,0,0,565,0,0,3,3,64,35,0,0,565,0,0,3,3,73.0,161
Zach Charbonnet,SEA,RB,16,0,0,108,0,462,209,0,1,0,1,0,0,108,0,462,209,0,1,0,1,40,33,0,462,209,0,1,0,1,73.0,162
Elijah Moore,CLE,WR,17,0,0,9,0,11,640,0,0,2,2,0,0,9,0,11,640,0,0,2,2,104,59,0,11,640,0,0,2,2,73.0,163
Anthony Richardson,IND,QB,4,50,84,25,577,136,0,3,4,0,4,1,84,25,577,136,0,3,4,0,4,0,0,577,136,0,3,4,0,4,73.0,164
Wan'Dale Robinson,NYG,WR,15,0,0,9,0,87,525,0,1,1,2,0,0,9,0,87,525,0,1,1,2,78,60,0,87,525,0,1,1,2,73.0,165
Christian Watson,GNB,WR,9,0,0,4,0,11,422,0,0,5,5,0,0,4,0,11,422,0,0,5,5,53,28,0,11,422,0,0,5,5,73.0,166
K.J. Osborn,MIN,WR,16,0,0,0,0,0,540,0,0,3,3,0,0,0,0,0,540,0,0,3,3,75,48,0,0,540,0,0,3,3,72.0,167
Logan Thomas,WAS,TE,16,0,0,1,0,2,496,0,0,4,4,0,0,1,0,2,496,0,0,4,4,78,55,0,2,496,0,0,4,4,72.0,168
Isaiah Likely,BAL,TE,17,0,0,0,0,0,411,0,0,5,5,0,0,0,0,0,411,0,0,5,5,40,30,0,0,411,0,0,5,5,71.0,169
Samaje Perine,DEN,RB,17,0,0,53,0,238,455,0,1,0,1,0,0,53,0,238,455,0,1,0,1,56,50,0,238,455,0,1,0,1,71.0,170
Cade Otton,TAM,TE,17,0,0,0,0,0,455,0,0,4,4,0,0,0,0,0,455,0,0,4,4,67,47,0,0,455,0,0,4,4,70.0,171
Dameon Pierce,HOU,RB,14,0,0,145,0,416,101,0,2,0,3,0,0,145,0,416,101,0,2,0,3,17,13,0,416,101,0,2,0,3,70.0,172
Noah Brown,HOU,WR,10,0,0,1,0,-1,567,0,0,2,2,0,0,1,0,-1,567,0,0,2,2,55,33,0,-1,567,0,0,2,2,69.0,173
Josh Palmer,LAC,WR,10,0,0,1,0,6,581,0,0,2,2,0,0,1,0,6,581,0,0,2,2,61,38,0,6,581,0,0,2,2,69.0,174
Bailey Zappe,NWE,QB,10,127,212,17,1272,83,0,6,1,0,1,9,212,17,1272,83,0,6,1,0,1,0,0,1272,83,0,6,1,0,1,69.0,175
Roschon Johnson,CHI,RB,15,0,0,81,0,352,209,0,2,0,2,0,0,81,0,352,209,0,2,0,2,40,34,0,352,209,0,2,0,2,68.0,176
Easton Stick,LAC,QB,5,111,174,27,1129,144,0,3,1,0,1,1,174,27,1129,144,0,3,1,0,1,0,0,1129,144,0,3,1,0,1,68.0,177
Kenneth Gainwell,PHI,RB,16,1,1,84,17,364,183,0,2,0,2,0,1,84,17,364,183,0,2,0,2,37,30,17,364,183,0,2,0,2,67.0,178
Nick Mullens,MIN,QB,5,100,148,10,1306,25,0,7,0,0,0,8,148,10,1306,25,0,7,0,0,0,0,0,1306,25,0,7,0,0,0,67.0,179
Taylor Heinicke,ATL,QB,5,74,136,15,890,124,0,5,1,0,1,4,136,15,890,124,0,5,1,0,1,0,0,890,124,0,5,1,0,1,66.0,180
Latavius Murray,BUF,RB,16,0,0,79,0,300,119,0,4,0,4,0,0,79,0,300,119,0,4,0,4,22,17,0,300,119,0,4,0,4,66.0,181
Rondale Moore,ARI,WR,17,0,0,28,0,178,352,0,1,1,2,0,0,28,0,178,352,0,1,1,2,62,40,0,178,352,0,1,1,2,65.0,182
Jimmy Garoppolo,LVR,QB,7,110,169,20,1205,39,0,7,0,0,0,9,169,20,1205,39,0,7,0,0,0,0,0,1205,39,0,7,0,0,0,64.0,183
Kendrick Bourne,NWE,WR,8,0,0,1,0,4,406,0,0,4,4,0,0,1,0,4,406,0,0,4,4,55,37,0,4,406,0,0,4,4,63.0,184
Alec Pierce,IND,WR,17,0,0,0,0,0,514,0,0,2,2,0,0,0,0,0,514,0,0,2,2,65,32,0,0,514,0,0,2,2,63.0,185
Nelson Agholor,BAL,WR,17,0,0,0,0,0,381,0,0,4,4,0,0,0,0,0,381,0,0,4,4,45,35,0,0,381,0,0,4,4,62.0,186
Tyler Conklin,NYJ,TE,17,0,0,1,0,0,621,0,0,0,0,0,0,1,0,0,621,0,0,0,0,87,61,0,0,621,0,0,0,0,62.0,187
Tyler Higbee,LAR,TE,15,0,0,0,0,0,495,0,0,2,2,0,0,0,0,0,495,0,0,2,2,70,47,0,0,495,0,0,2,2,62.0,188
Kalif Raymond,DET,WR,17,0,0,7,0,75,489,0,0,1,1,0,0,7,0,75,489,0,0,1,1,44,35,0,75,489,0,0,1,1,62.0,189
Justin Watson,KAN,WR,16,0,0,0,0,0,460,0,0,3,3,0,0,0,0,0,460,0,0,3,3,53,27,0,0,460,0,0,3,3,62.0,190
Juwan Johnson,NOR,TE,13,0,0,0,0,0,368,0,0,4,4,0,0,0,0,0,368,0,0,4,4,59,37,0,0,368,0,0,4,4,61.0,191
Keaton Mitchell,BAL,RB,8,0,0,47,0,396,93,0,2,0,2,0,0,47,0,396,93,0,2,0,2,11,9,0,396,93,0,2,0,2,61.0,192
Demarcus Robinson,LAR,WR,16,0,0,1,0,23,371,0,0,4,4,0,0,1,0,23,371,0,0,4,4,39,26,0,23,371,0,0,4,4,61.0,193
Miles Sanders,CAR,RB,16,0,0,129,0,432,154,0,1,0,1,0,0,129,0,432,154,0,1,0,1,41,27,0,432,154,0,1,0,1,61.0,194
Darren Waller,NYG,TE,12,0,0,0,0,0,552,0,0,1,1,0,0,0,0,0,552,0,0,1,1,74,52,0,0,552,0,0,1,1,61.0,195
Gerald Everett,LAC,TE,15,0,0,3,0,10,411,0,0,3,3,0,0,3,0,10,411,0,0,3,3,70,51,0,10,411,0,0,3,3,60.0,196
Jerick McKinnon,KAN,RB,12,1,1,21,4,60,192,1,1,4,5,0,1,21,4,60,192,1,1,4,5,32,25,4,60,192,1,1,4,5,59.0,197
Chigoziem Okonkwo,TEN,TE,17,0,0,2,0,6,528,0,0,1,1,0,0,2,0,6,528,0,0,1,1,77,54,0,6,528,0,0,1,1,59.0,198
Zamir White,LVR,RB,17,0,0,104,0,451,98,0,1,0,1,0,0,104,0,451,98,0,1,0,1,19,15,0,451,98,0,1,0,1,59.0,199
Demario Douglas,NWE,WR,14,0,0,8,0,41,561,0,0,0,0,0,0,8,0,41,561,0,0,0,0,79,49,0,41,561,0,0,0,0,58.0,200
Daniel Jones,NYG,QB,6,108,160,40,909,206,0,2,1,0,1,6,160,40,909,206,0,2,1,0,1,0,0,909,206,0,2,1,0,1,57.0,201
Trey Palmer,TAM,WR,17,0,0,3,0,22,385,0,0,3,3,0,0,3,0,22,385,0,0,3,3,68,39,0,22,385,0,0,3,3,57.0,202
Nick Westbrook-Ikhine,TEN,WR,14,0,0,0,0,0,370,0,0,3,3,0,0,0,0,0,370,0,0,3,3,45,28,0,0,370,0,0,3,3,57.0,203
Quentin Johnston,LAC,WR,17,0,0,3,0,9,431,0,0,2,2,0,0,3,0,9,431,0,0,2,2,67,38,0,9,431,0,0,2,2,56.0,204
Jameson Williams,DET,WR,12,0,0,3,0,29,354,0,1,2,3,0,0,3,0,29,354,0,1,2,3,42,24,0,29,354,0,1,2,3,56.0,205
Michael Gallup,DAL,WR,17,0,0,0,0,0,418,0,0,2,2,0,0,0,0,0,418,0,0,2,2,57,34,0,0,418,0,0,2,2,54.0,206
Brandon Johnson,DEN,WR,13,0,0,0,0,0,284,0,0,4,4,0,0,0,0,0,284,0,0,4,4,30,19,0,0,284,0,0,4,4,54.0,207
Joshua Kelley,LAC,RB,17,0,0,107,0,405,32,0,2,0,2,0,0,107,0,405,32,0,2,0,2,12,8,0,405,32,0,2,0,2,54.0,208
Tyson Bagent,CHI,QB,5,94,143,23,859,109,0,3,2,0,2,6,143,23,859,109,0,3,2,0,2,0,0,859,109,0,3,2,0,2,53.0,209
Clyde Edwards-Helaire,KAN,RB,15,0,0,70,0,223,188,0,1,1,2,0,0,70,0,223,188,0,1,1,2,22,17,0,223,188,0,1,1,2,53.0,210
Donald Parham,LAC,TE,14,0,0,0,0,0,285,0,0,4,4,0,0,0,0,0,285,0,0,4,4,41,27,0,0,285,0,0,4,4,53.0,211
Tre Tucker,LVR,WR,16,0,0,10,0,77,331,0,0,2,2,0,0,10,0,77,331,0,0,2,2,34,19,0,77,331,0,0,2,2,53.0,212
Emari Demercado,ARI,RB,14,0,0,58,0,284,119,0,2,0,2,0,0,58,0,284,119,0,2,0,2,30,21,0,284,119,0,2,0,2,52.0,213
Michael Thomas,NOR,WR,10,0,0,0,0,0,448,0,0,1,1,0,0,0,0,0,448,0,0,1,1,64,39,0,0,448,0,0,1,1,51.0,214
Marvin Mims*,DEN,WR,16,0,0,9,0,30,377,0,0,1,2,0,0,9,0,30,377,0,0,1,2,33,22,0,30,377,0,0,1,2,49.0,215
A.T. Perry,NOR,WR,10,0,0,0,0,0,246,0,0,4,4,0,0,0,0,0,246,0,0,4,4,18,12,0,0,246,0,0,4,4,49.0,216
Mitchell Trubisky,PIT,QB,5,67,107,16,632,54,0,4,2,0,2,5,107,16,632,54,0,4,2,0,2,0,0,632,54,0,4,2,0,2,49.0,217
Robert Woods,HOU,WR,14,0,0,1,0,7,426,0,0,1,1,0,0,1,0,7,426,0,0,1,1,75,40,0,7,426,0,0,1,1,49.0,218
Tucker Kraft,GNB,TE,17,0,0,0,0,0,355,0,0,2,2,0,0,0,0,0,355,0,0,2,2,40,31,0,0,355,0,0,2,2,48.0,219
Darnell Mooney,CHI,WR,15,0,0,2,0,5,414,0,0,1,1,0,0,2,0,5,414,0,0,1,1,61,31,0,5,414,0,0,1,1,48.0,220
KaVontae Turpin,DAL,WR,16,0,0,11,0,110,127,0,1,3,4,0,0,11,0,110,127,0,1,3,4,18,12,0,110,127,0,1,3,4,48.0,221
Cedrick Wilson Jr.,MIA,WR,15,0,0,0,0,0,296,0,0,3,3,0,0,0,0,0,296,0,0,3,3,38,22,0,0,296,0,0,3,3,48.0,222
Chris Moore,TEN,WR,17,0,0,2,0,39,424,0,0,0,0,0,0,2,0,39,424,0,0,0,0,35,22,0,39,424,0,0,0,0,46.0,223
Rashod Bateman,BAL,WR,16,0,0,1,0,18,367,0,0,1,1,0,0,1,0,18,367,0,0,1,1,56,32,0,18,367,0,0,1,1,45.0,224
Royce Freeman,LAR,RB,14,0,0,77,0,319,13,0,2,0,2,0,0,77,0,319,13,0,2,0,2,2,1,0,319,13,0,2,0,2,45.0,225
Pat Freiermuth,PIT,TE,12,0,0,0,0,0,308,0,0,2,2,0,0,0,0,0,308,0,0,2,2,47,32,0,0,308,0,0,2,2,45.0,226
Zay Jones,JAX,WR,9,0,0,0,0,0,321,0,0,2,2,0,0,0,0,0,321,0,0,2,2,64,34,0,0,321,0,0,2,2,44.0,227
Michael Mayer,LVR,TE,14,0,0,0,0,0,304,0,0,2,2,0,0,0,0,0,304,0,0,2,2,40,27,0,0,304,0,0,2,2,44.0,228
Kylen Granson,IND,TE,15,0,0,1,0,2,368,0,0,1,1,0,0,1,0,2,368,0,0,1,1,50,30,0,2,368,0,0,1,1,43.0,229
Noah Gray,KAN,TE,17,0,0,1,0,1,305,0,0,2,2,0,0,1,0,1,305,0,0,2,2,41,28,0,1,305,0,0,2,2,43.0,230
Jamaal Williams,NOR,RB,13,0,0,106,0,306,62,0,1,0,1,0,0,106,0,306,62,0,1,0,1,20,18,0,306,62,0,1,0,1,43.0,231
Jordan Mason,SFO,RB,17,0,0,40,0,206,31,0,3,0,3,0,0,40,0,206,31,0,3,0,3,4,3,0,206,31,0,3,0,3,42.0,232
Jonathan Mingo,CAR,WR,15,0,0,0,0,0,418,0,0,0,0,0,0,0,0,0,418,0,0,0,0,85,43,0,0,418,0,0,0,0,42.0,233
Elijah Mitchell,SFO,RB,11,0,0,75,0,281,14,0,2,0,2,0,0,75,0,281,14,0,2,0,2,8,6,0,281,14,0,2,0,2,42.0,234
Greg Dortch,ARI,WR,16,0,0,1,0,5,280,0,0,2,2,0,0,1,0,5,280,0,0,2,2,41,24,0,5,280,0,0,2,2,41.0,235
Noah Fant,SEA,TE,17,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,414,0,0,0,0,43,32,0,0,414,0,0,0,0,41.0,236
Tanner Hudson,CIN,TE,12,0,0,0,0,0,352,0,0,1,1,0,0,0,0,0,352,0,0,1,1,50,39,0,0,352,0,0,1,1,41.0,237
Luke Musgrave,GNB,TE,11,0,0,0,0,0,352,0,0,1,1,0,0,0,0,0,352,0,0,1,1,46,34,0,0,352,0,0,1,1,41.0,238
Chase Brown,CIN,RB,12,0,0,44,0,179,156,0,0,1,1,0,0,44,0,179,156,0,0,1,1,15,14,0,179,156,0,0,1,1,40.0,239
Mason Rudolph,PIT,QB,4,55,74,10,719,8,0,3,0,0,0,0,74,10,719,8,0,3,0,0,0,0,0,719,8,0,3,0,0,0,40.0,240
Isaiah Hodgins,NYG,WR,17,0,0,0,0,0,230,0,0,3,3,0,0,0,0,0,230,0,0,3,3,33,21,0,0,230,0,0,3,3,39.0,241
DeVante Parker,NWE,WR,13,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,394,0,0,0,0,55,33,0,0,394,0,0,0,0,39.0,242
Jake Bobo,SEA,WR,17,0,0,1,0,3,196,0,1,2,3,0,0,1,0,3,196,0,1,2,3,25,19,0,3,196,0,1,2,3,38.0,243
Xavier Gipson,NYJ,WR,17,0,0,8,0,68,229,0,1,0,2,0,0,8,0,68,229,0,1,0,2,38,21,0,68,229,0,1,0,2,38.0,244
Trenton Irwin,CIN,WR,16,0,0,0,0,0,316,0,0,1,1,0,0,0,0,0,316,0,0,1,1,32,25,0,0,316,0,0,1,1,38.0,245
Brandon Powell,MIN,WR,17,0,0,5,0,17,324,0,0,1,1,0,0,5,0,17,324,0,0,1,1,44,29,0,17,324,0,0,1,1,38.0,246
Pierre Strong,CLE,RB,17,0,0,63,0,291,47,0,1,0,1,0,0,63,0,291,47,0,1,0,1,8,5,0,291,47,0,1,0,1,38.0,247
Adam Trautman,DEN,TE,17,0,0,0,0,0,204,0,0,3,3,0,0,0,0,0,204,0,0,3,3,35,22,0,0,204,0,0,3,3,38.0,248
Jalin Hyatt,NYG,WR,17,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,373,0,0,0,0,40,23,0,0,373,0,0,0,0,37.0,249
Allen Lazard,NYJ,WR,14,0,0,0,0,0,311,0,0,1,1,0,0,0,0,0,311,0,0,1,1,49,23,0,0,311,0,0,1,1,37.0,250
Colby Parkinson,SEA,TE,17,0,0,0,0,0,247,0,0,2,2,0,0,0,0,0,247,0,0,2,2,34,25,0,0,247,0,0,2,2,37.0,251
Durham Smythe,MIA,TE,16,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,366,0,0,0,0,43,35,0,0,366,0,0,0,0,37.0,252
Jalen Tolbert,DAL,WR,17,0,0,0,0,0,268,0,0,2,2,0,0,0,0,0,268,0,0,2,2,36,22,0,0,268,0,0,2,2,37.0,253
Tommy Tremble,CAR,TE,16,0,0,0,0,0,194,0,0,3,3,0,0,0,0,0,194,0,0,3,3,32,23,0,0,194,0,0,3,3,37.0,254
Cam Akers,2TM,RB,7,0,0,60,0,167,70,0,2,0,2,0,0,60,0,167,70,0,2,0,2,12,11,0,167,70,0,2,0,2,36.0,255
Mo Alie-Cox,IND,TE,17,0,0,0,0,0,161,0,0,3,3,0,0,0,0,0,161,0,0,3,3,22,13,0,0,161,0,0,3,3,36.0,256
Calvin Austin,PIT,WR,17,0,0,11,0,57,180,0,1,1,2,0,0,11,0,57,180,0,1,1,2,30,17,0,57,180,0,1,1,2,36.0,257
Mike Gesicki,NWE,TE,17,0,0,0,0,0,244,0,0,2,2,0,0,0,0,0,244,0,0,2,2,45,29,0,0,244,0,0,2,2,36.0,258
Andrei Iosivas,CIN,WR,16,0,0,0,0,0,116,0,0,4,4,0,0,0,0,0,116,0,0,4,4,25,15,0,0,116,0,0,4,4,36.0,259
Chris Rodriguez,WAS,RB,13,0,0,51,0,247,12,0,2,0,2,0,0,51,0,247,12,0,2,0,2,2,2,0,247,12,0,2,0,2,36.0,260
Marquez Valdes-Scantling,KAN,WR,16,0,0,0,0,0,315,0,0,1,1,0,0,0,0,0,315,0,0,1,1,42,21,0,0,315,0,0,1,1,36.0,261
David Bell,CLE,WR,15,0,0,0,0,0,167,0,0,3,3,0,0,0,0,0,167,0,0,3,3,23,14,0,0,167,0,0,3,3,35.0,262
Michael Carter,2TM,RB,15,0,0,30,0,187,101,0,0,1,1,0,0,30,0,187,101,0,0,1,1,31,24,0,187,101,0,0,1,1,35.0,263
Darrell Henderson,LAR,RB,4,0,0,46,0,112,103,0,2,0,2,0,0,46,0,112,103,0,2,0,2,14,10,0,112,103,0,2,0,2,34.0,264
Lil'Jordan Humphrey,DEN,WR,17,0,0,0,0,0,162,0,0,3,3,0,0,0,0,0,162,0,0,3,3,19,13,0,0,162,0,0,3,3,34.0,265
Brevin Jordan,HOU,TE,14,0,0,0,0,0,219,0,0,2,2,0,0,0,0,0,219,0,0,2,2,21,17,0,0,219,0,0,2,2,34.0,266
Jauan Jennings,SFO,WR,13,0,0,0,0,0,265,0,0,1,1,0,0,0,0,0,265,0,0,1,1,33,19,0,0,265,0,0,1,1,33.0,267
Dawson Knox,BUF,TE,12,0,0,0,0,0,186,0,0,2,2,0,0,0,0,0,186,0,0,2,2,36,22,0,0,186,0,0,2,2,33.0,268
Kendre Miller,NOR,RB,8,0,0,41,0,156,117,0,1,0,1,0,0,41,0,156,117,0,1,0,1,11,10,0,156,117,0,1,0,1,33.0,269
Skyy Moore,KAN,WR,14,0,0,3,0,23,244,0,0,1,1,0,0,3,0,23,244,0,0,1,1,38,21,0,23,244,0,0,1,1,33.0,270
JuJu Smith-Schuster,NWE,WR,11,0,0,0,0,0,260,0,0,1,1,0,0,0,0,0,260,0,0,1,1,47,29,0,0,260,0,0,1,1,32.0,271
Braxton Berrios,MIA,WR,16,0,0,1,0,11,238,0,0,1,1,0,0,1,0,11,238,0,0,1,1,33,27,0,11,238,0,0,1,1,31.0,272
Josh Oliver,MIN,TE,17,0,0,0,0,0,213,0,0,2,2,0,0,0,0,0,213,0,0,2,2,28,22,0,0,213,0,0,2,2,31.0,273
Mike Williams,LAC,WR,3,0,0,1,0,3,249,0,0,1,1,0,0,1,0,3,249,0,0,1,1,26,19,0,3,249,0,0,1,1,31.0,274
Matt Breida,NYG,RB,17,0,0,55,0,151,88,0,1,0,1,0,0,55,0,151,88,0,1,0,1,21,17,0,151,88,0,1,0,1,30.0,275
Bo Melton,GNB,WR,5,0,0,3,0,21,218,0,0,1,1,0,0,3,0,21,218,0,0,1,1,24,16,0,21,218,0,0,1,1,30.0,276
Alex Erickson,LAC,WR,8,0,0,0,0,0,232,0,0,1,1,0,0,0,0,0,232,0,0,1,1,29,16,0,0,232,0,0,1,1,29.0,277
Drew Lock,SEA,QB,4,48,76,5,543,14,0,3,0,0,0,3,76,5,543,14,0,3,0,0,0,0,0,543,14,0,3,0,0,0,29.0,278
Andrew Beck,HOU,FB,15,0,0,5,0,3,55,0,1,2,4,0,0,5,0,3,55,0,1,2,4,13,11,0,3,55,0,1,2,4,28.0,279
Jimmy Graham,NOR,TE,13,0,0,0,0,0,39,0,0,4,4,0,0,0,0,0,39,0,0,4,4,7,6,0,0,39,0,0,4,4,28.0,280
Scott Miller,ATL,WR,17,0,0,0,0,0,161,0,0,2,2,0,0,0,0,0,161,0,0,2,2,16,11,0,0,161,0,0,2,2,28.0,281
Cordarrelle Patterson,ATL,RB,14,0,0,50,0,181,38,0,0,1,1,0,0,50,0,181,38,0,0,1,1,12,9,0,181,38,0,0,1,1,28.0,282
Allen Robinson,PIT,WR,17,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,280,0,0,0,0,49,34,0,0,280,0,0,0,0,28.0,283
Drew Sample,CIN,TE,17,0,0,0,0,0,163,0,0,2,2,0,0,0,0,0,163,0,0,2,2,27,22,0,0,163,0,0,2,2,28.0,284
Olamide Zaccheaus,PHI,WR,17,0,0,0,0,0,164,0,0,2,2,0,0,0,0,0,164,0,0,2,2,20,10,0,0,164,0,0,2,2,28.0,285
Salvon Ahmed,MIA,RB,8,0,0,22,0,61,88,0,1,1,2,0,0,22,0,61,88,0,1,1,2,23,16,0,61,88,0,1,1,2,27.0,286
Andrew Ogletree,IND,TE,12,0,0,0,0,0,147,0,0,2,2,0,0,0,0,0,147,0,0,2,2,21,9,0,0,147,0,0,2,2,27.0,287
Trevor Siemian,NYJ,QB,5,86,153,11,724,40,0,2,0,0,0,4,153,11,724,40,0,2,0,0,0,0,0,724,40,0,2,0,0,0,27.0,288
Jarrett Stidham,DEN,QB,3,40,66,9,496,8,0,2,0,0,0,1,66,9,496,8,0,2,0,0,0,0,0,496,8,0,2,0,0,0,27.0,289
Jeff Wilson,MIA,RB,10,0,0,41,0,188,85,0,0,0,0,0,0,41,0,188,85,0,0,0,0,17,14,0,188,85,0,0,0,0,27.0,290
Jamal Agnew,JAX,WR,11,0,0,4,0,-2,225,0,0,1,1,0,0,4,0,-2,225,0,0,1,1,21,14,0,-2,225,0,0,1,1,26.0,291
Daniel Bellinger,NYG,TE,17,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,28,25,0,0,255,0,0,0,0,26.0,292
Chase Edmonds,TAM,RB,13,0,0,49,0,176,81,0,0,0,0,0,0,49,0,176,81,0,0,0,0,17,14,0,176,81,0,0,0,0,26.0,293
Tyler Huntley,BAL,QB,5,21,37,15,203,55,0,3,0,0,0,0,37,15,203,55,0,3,0,0,0,0,0,203,55,0,3,0,0,0,26.0,294
Kadarius Toney,KAN,WR,13,0,1,11,0,31,169,0,0,1,1,0,1,11,0,31,169,0,0,1,1,38,27,0,31,169,0,0,1,1,26.0,295
Carson Wentz,LAR,QB,2,17,24,17,163,56,0,2,1,0,1,1,24,17,163,56,0,2,1,0,1,0,0,163,56,0,2,1,0,1,26.0,296
Ronnie Bell,SFO,WR,17,0,0,0,0,0,68,0,0,3,3,0,0,0,0,0,68,0,0,3,3,13,6,0,0,68,0,0,3,3,25.0,297
Pharaoh Brown,NWE,TE,17,0,0,0,0,0,208,0,0,1,1,0,0,0,0,0,208,0,0,1,1,15,13,0,0,208,0,0,1,1,25.0,298
Harrison Bryant,CLE,TE,17,0,0,5,0,8,81,0,0,3,3,0,0,5,0,8,81,0,0,3,3,20,13,0,8,81,0,0,3,3,25.0,299
Dalvin Cook,2TM,RB,15,0,0,67,0,214,78,0,0,0,0,0,0,67,0,214,78,0,0,0,0,20,15,0,214,78,0,0,0,0,25.0,300
Zach Ertz,ARI,TE,7,0,0,0,0,0,187,0,0,1,1,0,0,0,0,0,187,0,0,1,1,43,27,0,0,187,0,0,1,1,25.0,301
Deonte Harty,BUF,WR,16,0,0,4,0,0,150,0,0,1,2,0,0,4,0,0,150,0,0,1,2,21,15,0,0,150,0,0,1,2,25.0,302
Mack Hollins,ATL,WR,13,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,251,0,0,0,0,30,18,0,0,251,0,0,0,0,25.0,303
D'Ernest Johnson,JAX,RB,17,0,0,41,0,108,140,0,0,0,0,0,0,41,0,108,140,0,0,0,0,12,10,0,108,140,0,0,0,0,25.0,304
Ty Johnson,BUF,RB,10,0,0,30,0,132,62,0,0,1,1,0,0,30,0,132,62,0,0,1,1,7,7,0,132,62,0,0,1,1,25.0,305
Julio Jones,PHI,WR,11,0,0,0,0,0,74,0,0,3,3,0,0,0,0,0,74,0,0,3,3,19,11,0,0,74,0,0,3,3,25.0,306
Tony Jones,2TM,RB,7,0,0,26,0,95,37,0,2,0,2,0,0,26,0,95,37,0,2,0,2,10,7,0,95,37,0,2,0,2,25.0,307
Kyle Juszczyk*+,SFO,FB,17,0,0,5,0,6,119,0,0,2,2,0,0,5,0,6,119,0,0,2,2,17,14,0,6,119,0,0,2,2,25.0,308
Foster Moreau,NOR,TE,15,0,0,0,0,0,193,0,0,1,1,0,0,0,0,0,193,0,0,1,1,25,21,0,0,193,0,0,1,1,25.0,309
Craig Reynolds,DET,RB,17,0,0,41,0,179,47,0,1,0,1,0,0,41,0,179,47,0,1,0,1,5,5,0,179,47,0,1,0,1,25.0,310
Ihmir Smith-Marsette,CAR,WR,17,0,0,8,0,74,51,0,1,0,2,0,0,8,0,74,51,0,1,0,2,10,8,0,74,51,0,1,0,2,25.0,311
Treylon Burks,TEN,WR,11,0,0,5,0,18,221,0,0,0,0,0,0,5,0,18,221,0,0,0,0,30,16,0,18,221,0,0,0,0,24.0,312
Andy Dalton,CAR,QB,3,34,58,3,361,12,0,2,0,0,0,0,58,3,361,12,0,2,0,0,0,0,0,361,12,0,2,0,0,0,24.0,313
Hayden Hurst,CAR,TE,9,0,0,0,0,0,184,0,0,1,1,0,0,0,0,0,184,0,0,1,1,32,18,0,0,184,0,0,1,1,24.0,314
Hunter Renfrow,LVR,WR,17,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,37,25,0,0,255,0,0,0,0,24.0,315
Jacoby Brissett,WAS,QB,3,18,23,3,224,19,0,3,0,0,0,0,23,3,224,19,0,3,0,0,0,0,0,224,19,0,3,0,0,0,23.0,316
Dyami Brown,WAS,WR,17,1,1,1,4,0,168,0,0,1,1,0,1,1,4,0,168,0,0,1,1,23,12,4,0,168,0,0,1,1,23.0,317
Sam Darnold,SFO,QB,10,28,46,21,297,15,0,2,1,0,1,1,46,21,297,15,0,2,1,0,1,0,0,297,15,0,2,1,0,1,23.0,318
Will Dissly,SEA,TE,16,0,0,0,0,0,172,0,0,1,1,0,0,0,0,0,172,0,0,1,1,22,17,0,0,172,0,0,1,1,23.0,319
Darrynton Evans,2TM,RB,7,0,0,32,0,121,49,0,1,0,1,0,0,32,0,121,49,0,1,0,1,12,7,0,121,49,0,1,0,1,23.0,320
KhaDarel Hodge,ATL,WR,17,0,0,1,0,0,232,0,0,0,0,0,0,1,0,0,232,0,0,0,0,23,14,0,0,232,0,0,0,0,23.0,321
Austin Hooper,LVR,TE,17,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,234,0,0,0,0,31,25,0,0,234,0,0,0,0,23.0,322
Johnny Mundt,MIN,TE,17,0,0,0,0,0,172,0,0,1,1,0,0,0,0,0,172,0,0,1,1,23,17,0,0,172,0,0,1,1,23.0,323
Cedric Tillman,CLE,WR,14,0,0,1,0,8,224,0,0,0,0,0,0,1,0,8,224,0,0,0,0,44,21,0,8,224,0,0,0,0,23.0,324
Parker Washington,JAX,WR,9,0,0,0,0,0,132,0,0,2,2,0,0,0,0,0,132,0,0,2,2,21,16,0,0,132,0,0,2,2,23.0,325
